,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ind,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_avg_age,beta_avg_basement,beta_avg_sqft,beta_avg_water_dist,beta_avg_unemp,beta_avg_tech,beta_avg_index,se_Intercept,se_avg_age,se_avg_basement,se_avg_sqft,se_avg_water_dist,se_avg_unemp,se_avg_tech,se_avg_index,t_Intercept,t_avg_age,t_avg_basement,t_avg_sqft,t_avg_water_dist,t_avg_unemp,t_avg_tech,t_avg_index,p_Intercept,p_avg_age,p_avg_basement,p_avg_sqft,p_avg_water_dist,p_avg_unemp,p_avg_tech,p_avg_index,sumW_Intercept,sumW_avg_age,sumW_avg_basement,sumW_avg_sqft,sumW_avg_water_dist,sumW_avg_unemp,sumW_avg_tech,sumW_avg_index,w_43,w_164,w_226,w_81,w_354
0,0,0,0,0,1.0,-122.2812035,47.26766327,-0.9536378681741284,0.14599923516781246,-1.0217387523156949,0.06810088414156612,0.8433499395007483,-0.6710328863293393,-0.05206920568600315,-0.0030268867666869304,0.4524288864379298,-0.08423470209007514,-0.13713180522044388,0.12261449152584478,-0.0431288051587935,0.05100089772559424,0.0357223596515608,0.026887674427425814,0.050805912025897314,0.04098136601778615,0.023003138099313425,0.024823181491380613,0.02887667142589855,-13.157275974626401,-1.457608237358646,-0.11257525357416047,8.905044086351863,-2.055439100139239,-5.961439027509766,4.939515572104258,-1.4935518198303381,1.7076711402731646e-32,0.1458301027388304,0.910430755733254,2.780563862871875e-17,0.04056563270946476,6.021918903651962e-09,1.206941886111369e-06,0.13617854688890754,19.707845778183135,20.84397543763929,44.25081652489043,19.707845778183135,19.707845778183135,110.86437380157551,92.16233464038359,78.24591626824919,0.0,0.0,0.0,0.0,0.006246226714817445
1,1,1,1,1,2.0,-122.2442594,47.26549069,-1.5849313074564546,0.3779952723202742,-1.499979789790811,-0.08495151766564367,0.8510343404134788,-0.6538562342906321,-0.06432490827176895,-0.002583690643142884,0.4529621764160862,-0.08185052199158399,-0.13680504022886467,0.12211980617948913,-0.04366187716498825,0.05159831799313781,0.0354135964060461,0.026740745658184285,0.05573155183823802,0.04137363748881315,0.0229912839012442,0.02480972781905339,0.028838704307296164,-12.67204551856884,-1.8163901664838216,-0.09661999243286316,8.127571572577384,-1.978325498059368,-5.9503001579420856,4.922254974748392,-1.5140027339557642,1.2487681399351377e-30,0.07015144486798096,0.9230825481188633,7.316292205714235e-15,0.0486625293729327,6.406700107766659e-09,1.3110055918443263e-06,0.13091243214077372,17.04249530995725,17.500977051224936,44.403731746247814,17.04249530995725,17.04249530995725,111.33832917215095,91.83935678603164,78.22358944077746,0.0,0.0,0.0,0.0,0.016583935997229828
2,2,2,2,2,3.0,-122.309901,47.26631991,-1.0550198114519227,0.02504047126858033,-1.075999850591003,0.020980039139079976,0.8415758650629392,-0.6822485202665692,-0.04092575375054097,-0.0032161650565433533,0.4573610184170116,-0.08576426432609065,-0.13763280863306382,0.12289916274234793,-0.042712632968070534,0.05017315854757545,0.03669171545849567,0.027037448078382854,0.04902633370802428,0.04056766478732316,0.02302182846701777,0.02486413715261322,0.028885001613124163,-13.597878627067981,-1.1153949396788136,-0.11895224161760892,9.328884781407877,-2.1141040475391333,-5.978361311754344,4.942828379203629,-1.4787131931010058,3.3085740981106702e-34,0.2654335746475848,0.9053802857790868,1.1689654294944255e-18,0.035201274936346366,5.480181154831148e-09,1.1879032565585279e-06,0.14010122760466648,21.059737810022273,21.195253377036327,42.663132569131996,21.059737810022273,21.059737810022273,107.89316775724035,89.1011712353496,77.70334283302627,0.0,0.0,0.0,0.0,3.99999880563016e-14
3,3,3,3,3,4.0,-122.1886993,47.2677605,-0.7331891748087378,0.6616029309503402,-0.8957204297111391,0.16253125490240114,0.8707785344573085,-0.6373929112603929,-0.05843173072030052,-0.0019712393354384735,0.4619148874785133,-0.07835906911696748,-0.13603181590071184,0.12118879286348792,-0.044451400110359696,0.051147207667559216,0.035657372972665184,0.02660489335812295,0.06481431107602546,0.04168431291311113,0.02296399732615021,0.02472122074092424,0.028759565389634624,-12.461929796896179,-1.6386998213551542,-0.07409311170332578,7.126742224208777,-1.8798215357490249,-5.923699344181937,4.902217173396637,-1.5456214135412716,7.866459917410318e-30,0.10215921741752862,0.9409779102996312,5.7502344183635356e-12,0.0609488574317695,7.425343559942544e-09,1.44269703407918e-06,0.12308447884651505,13.077968626647046,13.529954576943052,42.55543406632461,13.077968626647046,13.077968626647046,111.10565642603828,91.51342810304337,76.68173596065216,0.0,0.0,0.0,0.0,0.03190947263192268
4,4,4,4,4,5.0,-122.33038059999998,47.27678291,-0.9363427205512698,-0.06618059187366543,-0.9216852857614636,-0.0146574347898063,0.8420508046868811,-0.6911212820632231,-0.03072354556165377,-0.0037174939746395523,0.4585391219381206,-0.0882329600173562,-0.13771497767357044,0.1232976108730691,-0.042328463502217535,0.05004359235560675,0.03801763269343063,0.0270954568828934,0.049048216062496486,0.04024565422117112,0.023024294754543283,0.02482883033245956,0.02889635575663605,-13.810385096900255,-0.8081393654729778,-0.13719989999454762,9.348742089903066,-2.1923599386028,-5.981289726426724,4.965904926736641,-1.4648374299758131,4.867855756866022e-35,0.4195500391884928,0.8909503504146583,1.0055193775939743e-18,0.02900036914941262,5.391395190374282e-09,1.0631063931762636e-06,0.14384782007073402,20.82465130805143,21.471714788916586,42.557671111735246,20.82465130805143,20.82465130805143,108.06027706127772,91.20829589553715,78.03079079582744,0.0,0.0,0.0,0.0,1.8195288107496606e-06
5,5,5,5,5,108.0,-122.25009740000002,47.4896013,-1.287674119649403,-0.5595018195772488,-1.1705597942760622,-0.11711432537334088,0.9573869874250228,-0.33636190071640043,0.005194996947807971,-0.045046577678018215,0.8183936880282008,-0.1624767050432953,-0.10900396647733013,0.13105159619871748,-0.04513394339048701,0.03982209209442316,0.0394323640855154,0.025845490356607832,0.03782849874920066,0.05004228000138443,0.023426697220548985,0.023641284164497588,0.026279377726553924,-8.44661550977393,0.13174449638732766,-1.7429182830923269,21.63431579598421,-3.2467886163220454,-4.652980548265936,5.54333661770875,-1.7174662147681503,7.730497666461638e-16,0.8952608130243441,0.08221130618576528,7.358477042987901e-67,0.0012780030078346626,4.621514493318092e-06,5.788344504715985e-08,0.08676366504110178,12.617668215428807,12.768951457912705,34.82007249245648,12.617668215428807,12.617668215428807,115.84751276793604,93.57056581810544,78.75705704596893,0.03687647923764374,0.6445816951657523,0.718875070483983,0.3548563764509284,0.8698576740768547
6,6,6,6,6,109.0,-122.1839087,47.4945394,-1.0005959739269383,-0.5309853132483492,-0.7834200777438856,-0.2171758961830528,0.9700807414681742,-0.32531134226545594,0.1003934163706858,-0.01094734233906874,0.6577308297438456,-0.1605383636932852,-0.10517869337342113,0.116491239405987,-0.06832523469113919,0.0386316434389589,0.04092891748762053,0.026435155565149058,0.03187809300473515,0.04981126470532105,0.023247956328087488,0.02303926588671492,0.02568513480607129,-8.42085175018438,2.452872505143852,-0.41412059452758543,20.63269059558069,-3.2229328976691454,-4.524212446422544,5.056204480593242,-2.660108082243309,9.288159833512145e-16,0.014651104463357312,0.6790351824891141,8.975201019542506e-63,0.0013860185518937867,8.272223630994368e-06,6.858398609953816e-07,0.008164875306199896,16.162422103620028,17.11036586407247,35.90870446451355,16.162422103620028,16.162422103620028,114.56155131499388,88.64782081486662,67.11562799655266,0.5963742799818632,0.8919487383395469,0.9160723388442936,0.785061073455816,0.9623980262704651
7,7,7,7,7,110.0,-122.3228277,47.49725520000001,-1.4360845646195108,-0.3805891603733682,-1.4220016427129327,-0.014082921906578116,0.9510008478535622,-0.22535859428758004,-0.06837393965479882,-0.03975601391215992,0.8031467819476062,-0.08620757187404254,-0.10335177247844124,0.13401349802095627,-0.007956872878224644,0.04533897650729947,0.04066200230165637,0.02622091606644684,0.046096610183458536,0.0593126136824645,0.02374508297374265,0.02390265811915599,0.02778036167588438,-4.970526722218748,-1.6815192510087875,-1.5161946978287706,17.423120241405734,-1.4534441583633908,-4.352554699123512,5.606635770502678,-0.2864207806600249,1.0396823172300443e-06,0.09353908239562392,0.13035754281584286,1.3281108771355563e-49,0.14698140859793124,1.7607058983560372e-05,4.1432479867838016e-08,0.7747224699147828,15.851170762890694,17.37831732041126,44.865380699200614,15.851170762890694,15.851170762890694,113.20343647150698,88.66549438306433,77.20661769517066,0.0,0.11824823939085335,0.2437036311323065,0.0,0.6019959680670014
8,8,8,8,8,111.0,-122.2283008,47.48586812,-0.954265411453672,-0.7370393330692883,-0.6051537213024261,-0.3491116901512459,0.957025305805168,-0.36834469517136936,0.05125221458516726,-0.03951330366188696,0.7711430433283265,-0.15824559717540676,-0.11052942001108564,0.12799079610619554,-0.05356096756896296,0.039455886677050085,0.04284247958428535,0.025988629929929338,0.0369569588873554,0.050630959137657375,0.02326626329260716,0.02351207292538857,0.025942751082963088,-9.335608097881645,1.1962943107514863,-1.5204073384561982,20.865976707628086,-3.125471053099401,-4.750630499664563,5.443620241922176,-2.0645831815476607,1.1108713082312383e-18,0.2323778550301551,0.12929627250969372,9.985263679404238e-64,0.0019210821359959664,2.9459534999742304e-06,9.742739424966727e-08,0.03968628657302901,12.754254870318928,13.627437869948167,35.18866031117919,12.754254870318928,12.754254870318928,116.81043587068157,94.15600851347028,78.57579860404564,0.2014900768777996,0.7491379882353589,0.8032229158066782,0.5244964975050698,0.9102452531665511
9,9,9,9,9,113.0,-121.916668,47.42460976,0.15139020360718755,0.6012402818220024,0.014206861074696018,0.13718334253249154,0.9526600042973692,-0.3169018222948351,0.06387735846646644,-0.015266134028039668,0.5083191710514974,0.007438256385501259,-0.11215013468014982,0.08964345249349223,-0.059085562557661085,0.03641845952076645,0.033463157763805415,0.02315020910843363,0.03812585986444038,0.03228315974489547,0.02252852836509104,0.022580302962073136,0.025434008413323703,-8.701681138218714,1.908886152267369,-0.6594382779237277,13.33266116118739,0.23040670257431595,-4.978138512319852,3.9699844879876633,-2.323092828997764,1.2320442437115172e-16,0.05708062314395521,0.5100407156424968,3.5710670699819924e-33,0.8179080968782833,1.0021877054934993e-06,8.697458598417767e-05,0.020737072786547447,7.747095128638854,7.972639328399465,21.00683164693995,7.747095128638854,7.747095128638854,74.65361667755421,52.052416788181674,41.451787185390856,0.0,0.0,0.0,0.0,9.45720098295872e-05
