the_geom,longitude,the_geom_webmercator,avg_tech,latitude,houses,avg_unemp,cartodb_id,avg_index,avg_price,avg_basement,avg_sqft,avg_water_dist,avg_age,ind
0101000020E610000063A2F77C038F5EC0B2902D89BBA44740,-122.2345879,0101000020110F00001AA4A28216F469C134779175ACD85641,0.13,47.28697314,6,6.65,11,0.29,210916.67,0.17,1505.67,1.89,54.67,11
0101000020E61000001F65C405208C5EC0F46F97FD3AA54740,-122.1894545,0101000020110F0000C8305E7BA2F169C139EF890B4CD95641,0.12,47.29086275,44,6.6,12,0.37,241258.86,0.32,1750,1.61,41.2,12
0101000020E6100000B39190ED21925EC0AA87A21F91A54740,-122.2833208,0101000020110F0000657E20A0BCF669C11B060EE6B7D95641,0.1,47.29349132,81,6.34,13,0.45,296710.93,0.16,1944.62,1.34,32.88,13
0101000020E61000008906CEBE17945EC02D8239596EA64740,-122.3139493,0101000020110F0000AD18B2D166F869C1947184EFCCDA5641,0.14,47.30024257,5,6.34,14,0.5,249600,0,2042.6,0.9,47.2,14
0101000020E61000006C8CE77DAD955EC01AD83232ABA64740,-122.3387141,0101000020110F0000FF0B746BBFF969C1724DEF2319DB5641,0.13,47.30209949,23,6.3,15,0.53,356182.61,0.52,2758.96,0.67,32.57,15
0101000020E61000009CA96B48B7945EC0C7D1E2AD6FA74740,-122.3236867,0101000020110F0000FF277E50EEF869C1C985583B0FDC5641,0.08,47.30809568,11,6.4,16,0.53,238795.45,0.18,1520,0.68,36.09,16
0101000020E610000071DB08D597975EC002D458EB59A74740,-122.3686421,0101000020110F00006732AFDD5FFB69C103AAFFF9F3DB5641,0.15,47.30743162,59,6.35,17,0.54,232584.95,0.44,1635.32,0.43,45.66,17
0101000020E610000097789B9287965EC02E53B4EE76A74740,-122.3520247,0101000020110F0000EBC4C9A278FA69C15AD41C5118DC5641,0.12,47.30831703,46,6.12,18,0.53,296683.83,0.2,2110.89,0.54,29.07,18
0101000020E610000090381A764E8D5EC0DDA60DC150A74740,-122.2079139,0101000020110F0000B954E157A3F269C1FF26307FE8DB5641,0.07,47.30715192,44,6.6,19,0.34,220737.5,0.23,1601.73,1.39,71.41,19
0101000020E6100000BB270F0B35995EC0B478EBDBCDA74740,-122.3938625,0101000020110F0000441F64CEBEFC69C1762B3E3385DC5641,0.16,47.31096982,92,6.1,20,0.54,278920.24,0.57,2046.13,0.41,35.32,20
0101000020E6100000E08A1FBEA78D5EC0F5DE319F20A94740,-122.2133632,0101000020110F0000867E812BEFF269C133B834952DDE5641,0.1,47.32130804,26,6.9,21,0.37,246230.31,0.12,1728.23,1.16,50.73,21
0101000020E6100000145AD6FDE38C5EC093F01008ECB74740,-122.2014155,0101000020110F0000092C20EB48F269C1D0A816E6BBF05641,0.12,47.43689061,57,5.81,74,0.52,315618.3,0.19,1907.89,0.89,36.58,74
0101000020E6100000DCF9D9232F925EC00B5DCB5C47B84740,-122.2841272,0101000020110F00008341B4D8C7F669C179CF0E942EF15641,0.11,47.43967781,26,5.76,75,0.49,256071.15,0.19,1542.31,1.02,56.65,75
0101000020E6100000CDA2C1B77A935EC0405DCDCF47A94740,-122.3043651,0101000020110F0000B899A174E1F769C10FE3DAAE5EDE5641,0.1,47.32250402,9,5.91,22,0.57,305494.44,0.56,1700,0.55,65,22
0101000020E6100000E90313C9A1985EC0948F38BF3CA94740,-122.3848746,0101000020110F0000900C7BBD41FC69C10764F1D150DE5641,0.1,47.32216635,60,6.05,23,0.55,309685.37,0.52,2129.45,0.16,40.2,23
0101000020E6100000DAC46E441C965EC0AF4DD7D140A94740,-122.3454753,0101000020110F0000B4375C801DFA69C176743AEC55DE5641,0.14,47.32229064,49,6.1,24,0.56,219081.43,0.29,1426.71,0.31,49.9,24
0101000020E61000001C727D691B925EC000D52E5C8CA94740,-122.2829231,0101000020110F00003E396E17B7F669C1AB1F8C91B4DE5641,0.08,47.32459595,51,6.04,25,0.53,280961.12,0.29,1719.82,0.8,36.98,25
0101000020E6100000F4F92823AE945EC0CEFFCC9C85A94740,-122.3231285,0101000020110F00000E3D0F8CE6F869C1E5503D1DACDE5641,0.1,47.32439003,41,6.18,26,0.57,230375.68,0.29,1519.27,0.42,45.32,26
0101000020E61000002183CB19C0905EC06FC727A603A94740,-122.2617249,0101000020110F0000D233B31E90F569C18745BB4809DE5641,0.09,47.32042386,50,6.08,27,0.49,316966.4,0.28,2130.96,1.05,34.18,27
0101000020E610000016F3188A60935EC008C8D96C13AB4740,-122.3027673,0101000020110F0000DF03E938CBF769C1889F399B9EE05641,0.1,47.33653031,31,6.09,28,0.59,227256.94,0.35,1484.19,0.41,49.29,28
0101000020E6100000A988D34936965EC01BF6F729F9AA4740,-122.3470635,0101000020110F00002D48E29933FA69C1F5A3FEB17DE05641,0.12,47.33572888,99,6.04,29,0.56,407327.81,0.64,2442.69,0.14,47.89,29
0101000020E610000054EEF4392D8F5EC0FD9C2743FAA94740,-122.2371354,0101000020110F0000E47366F539F469C1728831463EDF5641,0.11,47.3279499,4,6.43,30,0.33,221225,0.5,1905,1.49,99.5,30
0101000020E6100000025F76F4E48B5EC06E78CDED56AB4740,-122.1858493,0101000020110F00009ECAD65070F169C1BB639834F3E05641,0.11,47.33859036,81,6.26,31,0.55,351029.3,0.09,2447.04,0.61,18.01,31
0101000020E61000008EF85FF8D28D5EC01987C0B2CEAB4740,-122.2160016,0101000020110F00002BAD13E213F369C1D6588A5089E15641,0.11,47.34224543,40,6.33,32,0.4,262318.5,0,1744.75,0.92,12.78,32
0101000020E6100000C56691378A915EC0FD9196883FAC4740,-122.2740611,0101000020110F0000A30B01C73BF669C113F922BE16E25641,0.1,47.34568889,95,6.07,33,0.53,300869.96,0.36,2033.26,0.7,34.67,33
0101000020E610000064E190B26A935EC001FEE738D0AC4740,-122.3033873,0101000020110F000062297DD9D3F769C1FAB90A1CCCE25641,0.08,47.35010444,41,6.29,34,0.59,265445.1,0.34,1780.98,0.32,35.8,34
0101000020E6100000E86278912E855EC02EBA27D5DFAC4740,-122.0809673,0101000020110F0000923EB1E3BCEB69C172C78EADDFE25641,0.1,47.35058083,69,5.91,35,0.51,346151.12,0.14,2178.41,1.07,22.64,35
0101000020E6100000A6A3778519895EC0D4F7753BD6AC4740,-122.1421827,0101000020110F00003131A4B210EF69C11FD5B2A4D3E25641,0.15,47.35028785,42,5.91,36,0.6,304286.67,0.14,2084.76,0.17,19.5,36
0101000020E610000001023164D08B5EC06AC7265CBCAD4740,-122.1845942,0101000020110F0000D15DE4D95EF169C13DC9CD23F4E35641,0.11,47.35731079,58,6.12,37,0.57,283470.79,0.16,1826,0.39,26.24,37
0101000020E6100000480E22637F875EC0277576F09BAE4740,-122.1171501,0101000020110F00006495EB5EB4ED69C1B2E7C0760CE55641,0.12,47.36413389,66,5.72,38,0.57,303996.44,0.09,2069.55,0.42,24.05,38
0101000020E6100000536F57F92F945EC0C6A1C03308AE4740,-122.3154281,0101000020110F0000481983657BF869C12FC4103A53E45641,0.09,47.35962531,59,6.12,39,0.55,361544.07,0.39,1954.47,0.13,42.73,39
0101000020E610000040B4A04154835EC0940D317F01AF4740,-122.0520176,0101000020110F0000737F620E2AEA69C153CE0DCF8BE55641,0.1,47.36723318,74,6.11,40,0.5,298830.41,0.27,1853.53,1.29,27.45,40
0101000020E6100000A7A498CD2D915EC0431F0B55DAAE4740,-122.2684206,0101000020110F00008C01484AEDF569C1B567D9B25AE55641,0.08,47.36603797,53,6.13,41,0.52,280140.85,0.47,1930.85,0.62,40.62,41
0101000020E6100000ADFA5C6D45825EC0EB4540C73FAF4740,-122.0354875,0101000020110F0000CD7E780A44E969C19B8D8FE8D9E55641,0.15,47.36913386,87,5.89,42,0.46,345495.17,0.07,2163.86,1.48,20.64,42
0101000020E61000001D5A643B5F8E5EC0F60C7E6EAAAE4740,-122.2245625,0101000020110F0000AAF3EA018BF369C1498DB6A21EE55641,0.11,47.36457616,56,6.12,43,0.48,304756.7,0.36,1964.88,0.8,43.63,43
0101000020E6100000BF1A56A7398B5EC0421EA8F0F3AF4740,-122.1753939,0101000020110F00004C845DD4DEF069C1AEB2DDD7BBE65641,0.11,47.37463196,90,6.09,44,0.6,284066.4,0.29,1933.58,0.27,29.91,44
0101000020E610000053D3895F8C895EC06AEB33A999AF4740,-122.1491927,0101000020110F00006A5DD43D72EF69C1037ED09F4AE65641,0.11,47.37187686,89,6,45,0.61,369554.37,0.24,2289.49,0.17,31.08,45
0101000020E6100000B38BB333168D5EC05F2E3DF523B04740,-122.2044801,0101000020110F0000C79BEA8F73F269C15D279910F8E65641,0.14,47.37609735,22,6.11,46,0.52,293702.5,0.05,1957.36,0.7,36.95,46
0101000020E610000095BC9580738C5EC01CB6EBAD9AB04740,-122.1945497,0101000020110F000026339C61E9F169C1D32265F78CE75641,0.13,47.37972044,14,6.18,47,0.57,311624,0,2165.79,0.47,23.79,47
0101000020E610000002DB1C4270855EC0FF0E3D1076AF4740,-122.0849767,0101000020110F0000307412AEF4EB69C1E2CCABFB1DE65641,0.1,47.37079051,123,5.9,48,0.52,239892.43,0.21,1421.46,0.83,33.72,48
0101000020E610000014C31F8F2A875EC026C8A57DB5B04740,-122.1119726,0101000020110F0000A5CB81536CED69C1667F4F98AEE75641,0.09,47.38053866,55,5.82,49,0.58,313106.98,0.04,2086.55,0.49,25.31,49
0101000020E6100000E8A793C72E925EC0B960DB68A1B04740,-122.2841052,0101000020110F0000DECF558AC7F669C13A97656895E75641,0.09,47.37992583,43,6.24,50,0.54,255137.21,0.49,1826.74,0.58,49.81,50
0101000020E6100000A80826ED7C815EC050E7A3EF62B04740,-122.0232499,0101000020110F0000CFE066C199E869C1C1F6240D47E75641,0.13,47.37801929,123,6.15,51,0.47,344951.55,0.04,2070.45,1.44,14.14,51
0101000020E61000002435A3D5FF925EC0849919AAA0B04740,-122.2968649,0101000020110F000045B33D1779F769C13C76237994E75641,0.12,47.37990309,14,6.45,52,0.55,200442.86,0.29,1376.43,0.39,53.43,52
0101000020E61000000369B57691935EC0ACDE86BDF5B04740,-122.3057534,0101000020110F0000080111C6F4F769C14527D02EFFE75641,0.1,47.3824994,40,6.25,53,0.55,245447.88,0.2,1590.18,0.27,46.6,53
0101000020E6100000CD6CA1759E945EC0491AF57337B14740,-122.3221716,0101000020110F0000141F5E3BD9F869C18C51E89B51E85641,0.06,47.38450479,49,6.01,54,0.53,291167.35,0.2,1615.51,0.09,41.94,54
0101000020E610000001F15FC5CE8E5EC09CFCB37271B14740,-122.2313703,0101000020110F0000C406D3BCE9F369C10D8B7B5B9AE85641,0.11,47.38627466,18,6.07,55,0.4,211498.06,0.28,1453.89,1.01,68.78,55
0101000020E61000002F2D8FDAE98C5EC05EB8B57D76B24740,-122.2017733,0101000020110F0000DE76B0E54DF269C1465A33D6E1E95641,0.1,47.39424106,15,6.5,56,0.52,274266.67,0.33,1799.33,0.79,42.4,56
0101000020E610000071F37CBC468B5EC0D14F402C7EB24740,-122.1761924,0101000020110F0000A909CDF0E9F069C1F6FA6C79EBE95641,0.13,47.39447549,55,6.3,57,0.56,299445.33,0.25,1968.91,0.55,30.93,57
0101000020E6100000EF4B474A448C5EC0D46B0E6B85B24740,-122.1916681,0101000020110F0000CAD1B448C1F169C156F77990F4E95641,0.15,47.3946966,19,6.18,58,0.55,264783.68,0.58,1710.53,0.65,35.42,58
0101000020E6100000ADA7B11850935EC061B75BD41FB34740,-122.3017637,0101000020110F000019CDDC41BDF769C1955A854CB6EA5641,0.11,47.39940886,31,6.13,59,0.54,291071.77,0.55,1915.42,0.29,50.03,59
0101000020E6100000B9228CFA7F945EC060A3B45095B34740,-122.3203112,0101000020110F0000FFE83458BFF869C1411B3EB749EB5641,0.08,47.40299424,23,6.06,60,0.52,375419.57,0.48,2079.17,0.11,58.61,60
0101000020E61000009B1DA9BEF3915EC0A491E8C8BEB24740,-122.280502,0101000020110F00007E45EE6695F669C13ABFC9893CEA5641,0.11,47.39644729,2,6.16,61,0.56,226000,0.5,1745,0.57,51.5,61
0101000020E61000002651D43E428B5EC038E4137057B44740,-122.1759183,0101000020110F0000A9396520E6F069C17356D7503DEC5641,0.11,47.40891839,56,6.25,62,0.56,298496.11,0.41,1948.36,0.58,32.39,62
0101000020E61000009A67DB1FDE8D5EC0CE4E48631BB34740,-122.2166824,0101000020110F00005B1F3D5B1DF369C1ED31CFB9B0EA5641,0.13,47.39927331,35,6.03,63,0.46,328332.86,0.31,2189.77,0.96,38.34,63
0101000020E6100000312F76B19F8C5EC05627883657B44740,-122.1972469,0101000020110F0000B1D2A3E90EF269C14FC69F083DEC5641,0.1,47.40891153,42,6.09,64,0.51,282130.83,0.24,1800.95,0.86,35.67,64
0101000020E6100000C1C4C48B2A845EC04BAD182A56B24740,-122.0650968,0101000020110F000096C96B0DE0EA69C18FFFB947B9E95641,0.13,47.39325453,38,5.83,65,0.53,426261.84,0.26,2349.47,0.93,27,65
0101000020E61000003E552A4DEF8B5EC04C03DC7F26B64740,-122.1864808,0101000020110F0000E41F621A79F169C14D74148382EE5641,0.09,47.42304991,37,5.95,66,0.54,321235.14,0.11,1877.24,0.74,25.97,66
0101000020E6100000EDC094DC3C8A5EC0F702923428B64740,-122.1599647,0101000020110F00002F721A2208F069C1E3D946A784EE5641,0.09,47.42310197,49,5.82,67,0.6,298242.86,0.35,1722.04,0.32,37.1,67
0101000020E6100000CE8536A5618D5EC0ED76A49724B64740,-122.2090848,0101000020110F0000C04FE3A2B3F269C102983A1E80EE5641,0.14,47.42299171,37,6,68,0.48,325525.41,0.24,1970.76,1,39.92,68
0101000020E6100000E5E48FB3FA945EC06AC89131EBB54740,-122.3278016,0101000020110F00004CE7AF9227F969C14B504F1138EE5641,0.08,47.42124004,63,6.01,69,0.57,273343.84,0.4,1651.11,0.25,55.57,69
0101000020E6100000805BC1806F925EC043B367A666B64740,-122.2880556,0101000020110F0000D1318B82FEF669C1FE5C6F0AD3EE5641,0.11,47.42500763,36,6,70,0.52,331782.64,0.44,2057.78,0.75,50.94,70
0101000020E61000009E17DD30C0935EC0FCFF1753D9B54740,-122.3086054,0101000020110F00002C4787751CF869C1916544A321EE5641,0.1,47.42069472,26,6.02,71,0.53,223339.42,0.35,1388.65,0.33,55.15,71
0101000020E610000056719989D8875EC0F1AABD3E29B44740,-122.1225914,0101000020110F00000B500C1600EE69C14F86DB5803EC5641,0.11,47.4075087,52,5.95,72,0.6,366035.08,0.35,2264.62,0.4,30,72
0101000020E6100000EF47403B968F5EC0A9FA1196E3B44740,-122.2435444,0101000020110F00009222B12393F469C11FC7AE33EDEC5641,0.1,47.41319538,1,6.18,73,0.41,281000,0,1340,0.79,71,73
0101000020E61000009BAE27BA2E895EC095F661180BB84740,-122.143477,0101000020110F0000973E3AB522EF69C1C4D439E7E2F05641,0.11,47.4378386,34,5.63,76,0.62,389426.12,0.26,2380.15,0.23,32.24,76
0101000020E610000080CBAD5AE38A5EC0370076C913B84740,-122.1701266,0101000020110F0000FB7A108995F069C1C2F31FD1EDF05641,0.1,47.43810385,56,5.65,77,0.57,331704.04,0.34,2008.66,0.53,36.98,77
0101000020E61000001E424B0D23895EC0D60D88CE3AB94740,-122.1427644,0101000020110F00009D72C9CA18EF69C1F564D54960F25641,0.11,47.44710714,31,5.62,78,0.6,372331.94,0.48,2013.06,0.32,41.97,78
0101000020E61000004C0F54D76B8B5EC02807795EA6B94740,-122.1784571,0101000020110F000096402B7409F169C1AEC52A60E7F25641,0.11,47.45038968,29,5.51,79,0.52,239793.79,0.03,1263.21,0.75,55.24,79
0101000020E61000003B3F7BE445915EC020523ECA29B74740,-122.2698909,0101000020110F0000119CD1BF01F669C14C711E05C8EF5641,0.12,47.43096283,36,5.95,80,0.46,278728.56,0.53,1753.89,1.14,49.08,80
0101000020E6100000689D4C37E4945EC00A0F9A5DF7B84740,-122.3264292,0101000020110F0000E12CE47914F969C1809BF1970BF25641,0.09,47.445049,28,5.86,81,0.55,312560.71,0.21,1777.86,0.36,42.75,81
0101000020E610000082CD943119965EC0B35F77BA73B74740,-122.3452877,0101000020110F00006B4916E41AFA69C14DC682D924F05641,0.1,47.43321925,80,5.85,82,0.54,574009.38,0.5,2471.8,0.15,51.54,82
0101000020E610000079BEB04607825EC084D605B45BB74740,-122.0316941,0101000020110F0000050288410FE969C129BF83AF06F05641,0.14,47.43248606,38,5.65,83,0.48,508528.95,0.32,2473.95,1.19,40.71,83
