bu_water_dist,bt_constant,bt_age,bt_round_basement,bt_water_dist,bt_tech,bt_index,bu_constant,bu_sqft,bu_age,bu_round_basement,bt_sqft,bu_tech,bu_index,b_constant,b_sqft,b_age,b_round_basement,b_water_dist,b_tech,b_index,cartodb_id,objectid
"-0.194336886664709","0.165489449181129",,"-0.018889409672002","-0.194336886664709","0.94091229033402",,"0.165489449181129","0.507079243960526","0.055539954619515","-0.018889409672002","0.507079243960526","0.94091229033402","0.391174917628351","0.165489449181129","0.460368248608141","0.0558779030805229","-0.0334064529963174","-0.162764350989415","0.251525609858391","0.0613101511038075","187","189"
"-0.197294743858438","0.407181653970486","0.144483891601684","-0.0193024523907479","-0.197294743858438","0.882228919765464",,"0.407181653970486","0.532712751967019","0.144483891601684","-0.0193024523907479","0.532712751967019","0.882228919765464","0.497453563288583","0.407181653970486","0.483640455718141","0.145363044441144","-0.0341369306771371","-0.165241666102975","0.235838312835666","0.0779675581380886","217","219"
"-0.152743216414678","0.330864693061717","0.163113848856095","-0.0197707485214517",,,,"0.330864693061717","0.560328109771264","0.163113848856095","-0.0197707485214517","0.560328109771264","0.684684243163016","0.349225859836906","0.330864693061717","0.508711949096043","0.164106360905622","-0.0349651255731323","-0.127928109348916","0.183030473287656","0.0547353351942165","291","293"
"-0.146021537180195",,,"-0.0181008633938868","-0.146021537180195",,,"0.130034179109573","0.580694037320991","-0.00773227462853604","-0.0181008633938868","0.580694037320991","-0.0594429128349035","-0.234610460351248","0.130034179109573","0.527201813370744","-0.00777932382633798","-0.0320118866952687","-0.1222984536673","-0.0158903386172696","-0.0367712808936663","208","210"
"-0.263873871721806",,,"-0.0179443709766368","-0.263873871721806","0.960639761809882",,"0.0817813214603746","0.699954490682348","0.0872001492897987","-0.0179443709766368","0.699954490682348","0.960639761809882","-0.135933087519052","0.0817813214603746","0.63547626296832","0.0877307431020197","-0.0317351254479922","-0.221004155263455","0.256799177166316","-0.0213052467329162","160","162"
"-0.167236460613493","0.365002763084984","0.162203675779318","-0.0197022601700683","-0.167236460613493",,,"0.365002763084984","0.552316435843014","0.162203675779318","-0.0197022601700683","0.552316435843014","0.705056750928055","0.377807334477019","0.365002763084984","0.501438292485766","0.163190649624993","-0.0348440019948409","-0.140066738953604","0.188476472338351","0.059215005157667","279","281"
"-0.220943043352063","0.427531114130687","0.150609047530424","-0.0195248823979139","-0.220943043352063","1.0370941446526",,"0.427531114130687","0.551912015123883","0.150609047530424","-0.0195248823979139","0.551912015123883","1.0370941446526","0.397369724827566","0.427531114130687","0.501071126090405","0.151525470602346","-0.0345303044092116","-0.185047994099389","0.277237038876076","0.0622810839226741","247","249"
"-0.0417019592563512","-0.247539141889874",,,,,"-0.376012544323779","-0.247539141889874","0.612669884794451","0.0764867256574353","-0.0156443012674707","0.612669884794451","0.353486491586234","-0.376012544323779","-0.247539141889874","0.556232117952218","0.0769521306330163","-0.0276673873893805","-0.0349269376999833","0.0944943607244916","-0.0589337017035449","98","99"
"-0.163460246738452","0.342572032760343","0.153924303894676","-0.019765451256645","-0.163460246738452",,,"0.342572032760343","0.552493411625593","0.153924303894676","-0.019765451256645","0.552493411625593","0.746501930518048","0.350344286005749","0.342572032760343","0.501598965658731","0.154860899575556","-0.0349557572111322","-0.13690401976469","0.199555638993048","0.0549106298624584","293","295"
"-0.194779883044881","0.183908065808386",,"-0.0192463983535433","-0.194779883044881",,,"0.183908065808386","0.669553938418808","-0.0455557206061276","-0.0192463983535433","0.669553938418808","0.191627558185403","-0.145289462062256","0.183908065808386","0.607876140957852","-0.0458329171896398","-0.0340377975336643","-0.163135376889576","0.0512260695639837","-0.0227717025591373","318","320"
"-0.174131649848218","0.427502217988848","0.223817524981888","-0.0195776654570761","-0.174131649848218",,,"0.427502217988848","0.426904627528914","0.223817524981888","-0.0195776654570761","0.426904627528914","0.617162070534249","0.401017082144391","0.427502217988848","0.387579136868588","0.22517940560697","-0.0346236527358943","-0.145841715696314","0.164980378901722","0.0628527464146864","258","260"
